traffic_volume_type,traffic_light,time_of_day,direction,weather,total_vehicles,car,person,truck,bicycle,bus,motorcycle,date,time
light,Green,evening,East,Foggy,7,6,0,1,0,0,0,13-10-2024,5:30
moderate,Yellow,night,South,Foggy,14,14,0,0,0,0,0,10/10/2024,22:45
heavy,Red,night,West,Foggy,20,13,5,0,0,2,0,2/10/2024,10:30
moderate,Yellow,night,West,Rainy,18,16,0,1,0,1,0,13-10-2024,9:20
heavy,Red,morning,West,Snowy,20,14,4,1,0,1,0,1/10/2024,9:25
light,Green,morning,South,Snowy,3,3,0,0,0,0,0,10/10/2024,9:00
moderate,Red,night,North,Rainy,12,10,2,0,0,0,0,30-09-2024,21:00
heavy,Red,afternoon,North,Clear,20,12,7,0,0,1,0,2/10/2024,9:50
light,Red,night,North,Rainy,6,4,1,1,0,0,0,7/10/2024,7:30
moderate,Red,night,East,Clear,13,12,0,0,0,1,0,6/10/2024,12:45
moderate,Yellow,evening,West,Foggy,18,14,3,0,0,1,0,1/10/2024,5:35
heavy,Red,afternoon,North,Snowy,21,15,4,0,0,2,0,1/10/2024,7:00
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
light,Green,evening,South,Rainy,5,4,0,1,0,0,0,9/10/2024,18:20
heavy,Red,night,South,Snowy,20,12,6,0,0,2,0,1/10/2024,0:40
moderate,Yellow,afternoon,West,Clear,15,14,0,1,0,0,0,8/10/2024,22:20
light,Red,night,North,Rainy,4,3,0,0,0,1,0,17-10-2024,1:05
light,Green,morning,West,Foggy,9,9,0,0,0,0,0,15-10-2024,3:40
light,Green,morning,North,Snowy,2,1,0,0,0,1,0,17-10-2024,13:35
light,Green,morning,West,Foggy,3,2,0,0,1,0,0,12/10/2024,15:55
moderate,Yellow,morning,South,Rainy,10,10,0,0,0,0,0,6/10/2024,8:50
moderate,Red,evening,North,Foggy,12,10,2,0,0,0,0,30-09-2024,22:00
light,Green,afternoon,North,Foggy,7,5,0,1,0,1,0,10/10/2024,12:45
light,Red,night,West,Foggy,8,7,0,0,0,1,0,19-10-2024,21:15
moderate,Red,evening,West,Rainy,13,11,1,0,0,1,0,30-09-2024,16:45
moderate,Red,night,East,Foggy,13,9,3,0,0,1,0,30-09-2024,16:50
moderate,Yellow,afternoon,East,Foggy,15,14,0,0,0,1,0,11/10/2024,9:35
moderate,Yellow,night,South,Rainy,11,11,0,0,0,0,0,8/10/2024,10:30
heavy,Red,morning,East,Clear,20,16,3,1,0,0,0,30-09-2024,0:00
heavy,Red,morning,South,Clear,21,18,2,0,0,1,0,13-10-2024,10:30
light,Green,morning,East,Foggy,4,4,0,0,0,0,0,18-10-2024,11:20
light,Green,afternoon,South,Foggy,6,6,0,0,0,0,0,16-10-2024,2:25
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
heavy,Red,morning,East,Clear,20,16,3,1,0,0,0,30-09-2024,0:00
moderate,Yellow,morning,North,Clear,10,8,0,1,0,1,0,16-10-2024,6:40
heavy,Red,afternoon,North,Snowy,20,13,3,0,1,3,0,1/10/2024,20:05
heavy,Red,morning,South,Clear,21,18,2,0,0,1,0,13-10-2024,10:30
moderate,Red,afternoon,East,Snowy,14,11,2,1,0,0,0,2/10/2024,0:15
light,Green,morning,South,Foggy,9,9,0,0,0,0,0,18-10-2024,16:50
moderate,Yellow,afternoon,South,Foggy,12,8,1,1,0,1,0,5/10/2024,19:30
moderate,Yellow,morning,North,Rainy,13,12,0,1,0,0,0,8/10/2024,13:55
light,Green,afternoon,South,Clear,8,5,2,0,0,0,0,2/10/2024,21:10
light,Green,evening,East,Clear,8,7,0,0,0,1,0,5/10/2024,21:50
moderate,Red,morning,North,Snowy,10,9,1,0,0,0,0,6/10/2024,4:35
light,Green,evening,East,Clear,8,8,0,0,0,0,0,19-10-2024,20:25
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
light,Green,morning,South,Foggy,8,8,0,0,0,0,0,4/10/2024,9:40
moderate,Yellow,morning,North,Clear,11,8,2,0,0,1,0,6/10/2024,9:35
moderate,Yellow,afternoon,North,Snowy,13,9,2,1,0,1,0,1/10/2024,11:50
light,Green,afternoon,East,Rainy,5,3,1,1,0,0,0,2/10/2024,23:45
light,Red,morning,East,Snowy,7,5,1,0,0,1,0,6/10/2024,14:05
heavy,Red,morning,East,Clear,20,16,3,1,0,0,0,30-09-2024,0:00
light,Green,morning,East,Foggy,6,6,0,0,0,0,0,14-10-2024,20:20
heavy,Red,evening,West,Clear,20,15,0,4,0,1,0,9/10/2024,11:40
light,Green,evening,East,Snowy,5,5,0,0,0,0,0,16-10-2024,14:20
moderate,Red,night,South,Clear,11,8,2,1,0,0,0,6/10/2024,4:20
moderate,Yellow,morning,East,Clear,19,14,4,0,0,1,0,1/10/2024,7:55
moderate,Yellow,afternoon,South,Foggy,14,12,1,0,0,1,0,3/10/2024,3:30
moderate,Yellow,morning,West,Rainy,16,15,0,1,0,0,0,9/10/2024,7:15
moderate,Yellow,night,West,Clear,16,14,0,1,0,1,0,11/10/2024,9:55
moderate,Yellow,evening,South,Clear,15,14,0,1,0,0,0,8/10/2024,3:55
light,Green,morning,South,Snowy,6,6,0,0,0,0,0,16-10-2024,5:30
light,Green,afternoon,North,Snowy,9,9,0,0,0,0,0,18-10-2024,22:00
light,Red,night,North,Foggy,4,3,0,0,0,1,0,6/10/2024,14:30
moderate,Red,evening,South,Foggy,14,10,3,0,0,1,0,2/10/2024,8:45
light,Green,night,South,Snowy,7,5,0,1,0,0,1,16-10-2024,22:00
light,Green,night,West,Clear,7,6,0,1,0,0,0,18-10-2024,20:45
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
moderate,Yellow,afternoon,West,Foggy,11,8,0,0,0,0,0,3/10/2024,13:55
light,Green,afternoon,East,Rainy,5,5,0,0,0,0,0,14-10-2024,2:05
